TIME,D16,D17,D19,D21,D22,D23,D26,R13,R14,R15,R18,R20,R24,R25
10/23/2016 11:00,-0.676297,1.76058,4.230276667,0.412996333,0.452310333,0.433479667,-0.132961333,10.07287667,0.799957333,22.59203333,16.86266667,25.59506667,3.621696667,10.4994
10/23/2016 12:00,-0.683538667,1.68639,4.26128,0.424205667,0.424690333,0.297527667,-0.107891567,8.538916667,0.298812333,18.65276667,12.14676667,21.63203333,0.918187667,9.419056667
10/23/2016 13:00,-0.697669,1.669343333,3.94013,0.416043667,0.433038667,0.268601333,-0.124244333,7.37321,-0.213627767,14.89103333,8.698173333,18.26746667,-0.267607,8.47061
10/23/2016 14:00,-0.737505,1.76243,3.644856667,0.396403333,0.47828,0.186919333,-0.185383333,6.44678,-0.692826,12.06666667,6.608473333,15.78213333,-0.650837333,7.697573333
10/23/2016 15:00,-0.764017,1.923446667,3.26493,0.377431333,0.512621333,0.205300333,-0.196816,5.640286667,-1.044060667,9.774543333,5.06608,13.68936667,-1.365193333,7.035273333
10/23/2016 16:00,-0.854863667,1.99494,2.855033333,0.356217,0.545631333,0.318730333,-0.198014,4.872606667,-1.268843333,7.773023333,3.82568,12.01923333,-2.1569,6.415513333
10/23/2016 17:00,-1.002496667,1.886163333,2.40382,0.349006,0.546614333,0.291819333,-0.204583333,4.166906667,-1.45101,5.909666667,2.847453333,10.50903333,-2.969576667,5.816663333
10/23/2016 18:00,-1.196456667,1.696416667,2.032746667,0.362561667,0.570144333,0.329972333,-0.243038333,3.508616667,-1.442606667,4.305486667,2.040126667,9.297923333,-3.721696667,5.202673333
10/23/2016 19:00,-1.3766,1.536643333,1.72423,0.351352333,0.635653333,0.348198333,-0.261161,2.96773,-1.6505,3.012423333,1.388156667,8.30791,-4.4695,4.708543333
10/23/2016 20:00,-1.506076667,1.52659,1.33587,0.347481667,0.684072333,0.410646667,-0.271004,2.50802,-2.049593333,1.884633333,0.81144,7.43419,-5.183843333,4.19744
10/23/2016 21:00,-1.777703333,1.190181667,0.882350333,0.268309,0.579697333,0.378892667,-0.262486,2.10794,-2.480476667,1.014943333,0.344049667,6.67775,-5.734733333,3.757143333
10/23/2016 22:00,-1.981243333,0.952232333,0.109945333,0.280726667,0.656195667,0.365983333,-0.260968667,1.66939,1.674783,0.266632933,0.025003567,6.01444,-5.913773333,3.309666667
10/23/2016 23:00,-2.07217,0.610873333,-0.055507,0.270334667,0.640259,0.347414667,-0.224848667,1.248566667,6.772183333,-0.588651333,-0.297020333,5.3898,-6.02815,2.920643333
10/24/2016 0:00,-2.134163333,0.192117533,-0.279961667,0.267607333,0.629451,0.292614333,-0.206664667,0.83577,9.243676667,-1.231973333,-0.652084333,4.691303333,-6.62607,2.543266667
10/24/2016 1:00,-2.333173333,-0.194722467,-0.509524,0.24053,0.609848,0.222752333,-0.241647,4.827843667,9.593373333,-1.650406667,-0.795123333,4.208636667,-7.154673333,4.982543333
10/24/2016 2:00,-2.2873,-0.312208667,-0.625975667,0.245543333,0.612636333,0.18131,-0.298345333,13.19623333,8.32094,-1.70523,-0.664455333,4.064126667,-6.81748,10.48164333
10/24/2016 3:00,-2.162843333,-0.204578333,-0.729825,0.240795,0.682128333,0.255991333,-0.251429,18.69513333,6.88587,-1.525956667,-0.375877333,6.8247,-6.130036667,14.5897
